Spill Date,Street 1,Locality,County,Spill Date,Contributing Factor,Source,Material Name,Material Family,Quantity,Units,Year,Day,Day_of_week,Month,Location,Lat,Lon
1989-07-19,2400 7TH AVENUE,NEW YORK CITY,New York,1989-07-19,Human Error,Commercial/Industrial,hydrogen fluoride,Hazardous Material,1.0,Gallons,1989.0,19.0,2.0,7.0,"2400, Adam Clayton Powell Jr. Boulevard, Harlem, Manhattan Community Board 10, Manhattan, New York County, NYC, New York, 10030, USA",40.8187634,-73.9414925
2005-05-25,305 Sawyer Avenue,Tonawanda,Erie,2005-05-25,Equipment Failure,Commercial Vehicle,acrolein,Hazardous Material,3.0,Pounds,2005.0,25.0,2.0,5.0,"305, Sawyer Avenue, Tonawanda, Tonawanda Town, Erie County, New York, 14150, USA",42.9768755416667,-78.9190908055556
2008-09-04,32 BATAVIA PLACE,HARRISON,Westchester,2008-09-04,Human Error,Private Dwelling,chlorine,Hazardous Material,2.0,Pounds,2008.0,4.0,3.0,9.0,"32, Batavia Place, Harrison, Town of Harrison, Westchester County, New York, 10528, USA",40.9704200559099,-73.7168783348036
2001-03-18,305 Sawyer Avenue,Tonawanda,Erie,2001-03-18,Equipment Failure,Commercial/Industrial,hydrogen sulfide,Hazardous Material,723.0,Pounds,2001.0,18.0,6.0,3.0,"305, Sawyer Avenue, Tonawanda, Tonawanda Town, Erie County, New York, 14150, USA",42.9768755416667,-78.9190908055556
1995-03-14,1999 MOUNT READ BOULEVARD,ROCHESTER,Monroe,1995-03-14,Equipment Failure,Commercial/Industrial,hydrogen chloride,Hazardous Material,15.0,Gallons,1995.0,14.0,1.0,3.0,"Mount Read Boulevard, Rochester, Monroe County, New York, 14615, USA",43.1980216,-77.6592715
2004-07-31,5 TAMARACK DRIVE,CANANDAIGUA,Ontario,2004-07-31,Other,Unknown,hydrogen chloride,Hazardous Material,1.0,Gallons,2004.0,31.0,5.0,7.0,"5, Tamarack Drive, Canandaigua, Canandaigua Town, Ontario County, New York, 14424, USA",42.9085993235876,-77.2760774459924
1986-05-26,517 20TH ST,NIAGARA FALLS,Niagara,1986-05-26,Human Error,Private Dwelling,nitric acid,Hazardous Material,1.0,Gallons,1986.0,26.0,0.0,5.0,"517, 20th Street, Niagara Falls, Niagara County, New York, 14301, USA",43.0918795513396,-79.0375630793334
2002-07-09,519 EAST RIDGE ROAD,IRONDEQUOIT,Monroe,2002-07-09,Human Error,Commercial Vehicle,hydrogen chloride,Hazardous Material,1.0,Gallons,2002.0,9.0,1.0,7.0,"East Ridge Road, Rochester, Irondequoit Town, Monroe County, New York, 14622, USA",43.2041973,-77.5591731
1998-08-14,698 BROWN STREET,ROCHESTER,Monroe,1998-08-14,Other,Unknown,hydrogen chloride,Hazardous Material,1.0,Gallons,1998.0,14.0,4.0,8.0,"698, Brown Street, Convention District, Rochester, Monroe County, New York, 14611, USA",43.1521618,-77.6336442
2011-10-11,73 COUNTRY PLACE LANE,GREECE,Monroe,2011-10-11,Human Error,Private Dwelling,hydrochloric acid,Hazardous Material,1.0,Gallons,2011.0,11.0,1.0,10.0,"73, Country Place Lane, Grand View Heights, Greece Town, Monroe County, New York, 14612, USA",43.2767746578756,-77.7094814323603
2013-06-19,487 FULTON ST,BROOKLYN,Kings,2013-06-19,Abandoned Drums,Commercial/Industrial,nitric acid,Hazardous Material,1.0,Gallons,2013.0,19.0,2.0,6.0,"487, Fulton Street, Downtown Brooklyn, BK, Kings County, NYC, New York, 11201, USA",40.69104315,-73.9857468475156
2016-07-05,94 SEVEN SPRINGS ROAD,MONROE,Orange,2016-07-05,Housekeeping,Private Dwelling,nitric acid,Hazardous Material,55.0,Gallons,2016.0,5.0,1.0,7.0,"94, Seven Springs Road, Palm Tree, Town of Monroe, Orange County, New York, 10950, USA",41.3474697153637,-74.181276
1990-06-29,50 FLYDER AVENUE,TONAWANDA,Erie,1990-06-29,Other,Commercial/Industrial,thionyl chloride,Other,20.0,Gallons,1990.0,29.0,4.0,6.0,"50, Flyder Avenue, Tonawanda, Tonawanda Town, Erie County, New York, 14150, USA",42.982978,-78.9137755
1990-10-09,205 STARR STREET,MEDINA,Orleans,1990-10-09,Equipment Failure,Commercial Vehicle,hydrogen chloride,Hazardous Material,1.0,Gallons,1990.0,9.0,1.0,10.0,"205, Starr Street, Medina, Ridgeway Town, Orleans County, New York, 14103, USA",43.218361,-78.383577
1995-09-13,10 WEST PARK COURT,GRAND ISLAND,Erie,1995-09-13,Deliberate,Private Dwelling,hydrogen chloride,Hazardous Material,2.0,Gallons,1995.0,13.0,2.0,9.0,"10, West Park Court, Grandyle Village, Grand Island, Erie County, New York, 14072, USA",42.997738,-78.9541286666667
2001-08-22,4515 COLDEN ST,QUEENS,Queens,2001-08-22,Abandoned Drums,Unknown,hydrogen chloride,Hazardous Material,5.0,Gallons,2001.0,22.0,2.0,8.0,"Colden Street, Murray Hill, Queens, Queens County, NYC, New York, 11355, USA",40.747712,-73.818731
2015-07-02,701 E 14TH ST,NEW YORK,New York,2015-07-02,Equipment Failure,Commercial/Industrial,nitric oxide,Hazardous Material,18.28,Pounds,2015.0,2.0,3.0,7.0,"701, East 14th Street, Midwood, BK, Kings County, NYC, New York, 11230, USA",40.632139,-73.963545
2011-04-03,47-79 RIVER ST,BROOKLYN,Kings,2011-04-03,Equipment Failure,Commercial/Industrial,nitrogen dioxide,Hazardous Material,0.1,Pounds,2011.0,3.0,6.0,4.0,"47, River Street, Williamsburg, BK, Kings County, NYC, New York, 11211, USA",40.716891952381,-73.9662383809524
2011-03-14,47-79 RIVER STREET,BROOKLYN,Kings,2011-03-14,Equipment Failure,Commercial/Industrial,nitrogen dioxide,Hazardous Material,0.1,Pounds,2011.0,14.0,0.0,3.0,"47, River Street, Williamsburg, BK, Kings County, NYC, New York, 11211, USA",40.716891952381,-73.9662383809524
2017-06-19,568 SHORE AIRPORT ROAD,TICONDEROGA,Essex,2017-06-19,Equipment Failure,Commercial/Industrial,methyl mercaptan,Hazardous Material,129.0,Gallons,2017.0,19.0,0.0,6.0,"Shore Airport Road, Ticonderoga, Essex County, New York, 12883, USA",43.857602,-73.414938
2011-01-12,2400 BUFFALO AVE,NIAGARA FALLS,Niagara,2011-01-12,Equipment Failure,Commercial/Industrial,chlorine,Hazardous Material,1.0,Pounds,2011.0,12.0,2.0,1.0,"2400, Buffalo Avenue, Niagara Falls, Niagara County, New York, 14303, USA",43.083262,-79.032926
2011-05-02,730 3RD AVE,BROOKLYN,Kings,2011-05-02,Equipment Failure,Unknown,nitrogen dioxide,Hazardous Material,0.1,Pounds,2011.0,2.0,0.0,5.0,"730, 3rd Avenue, Sunset Park, BK, Kings County, NYC, New York, 11232, USA",40.659775796875,-74.00186171875
2018-07-01,4230 VERNON BLVD,LONG ISLAND CITY,Queens,2018-07-01,Equipment Failure,Commercial/Industrial,nitrogen dioxide,Hazardous Material,1.0,Gallons,2018.0,1.0,6.0,7.0,"Vernon Boulevard, Astoria, Queens, Queens County, NYC, New York, 10044, USA",40.763734,-73.94139
1992-02-18,2153 LOCKPORT-OLCOTT ROAD,NEWFANE,Niagara,1992-02-18,Equipment Failure,Commercial/Industrial,hydrogen peroxide,Hazardous Material,8600.0,Pounds,1992.0,18.0,1.0,2.0,"2153, Lockport-Olcott Road, Newfane, Newfane Town, Niagara County, New York, 14028, USA",43.3116630226715,-78.7146287893097
2001-03-01,2153 LOCKPORT-OLCOTT RD,BURT,Niagara,2001-03-01,Equipment Failure,Commercial/Industrial,hydrogen peroxide,Hazardous Material,30.0,Gallons,2001.0,1.0,3.0,3.0,"2153, Lockport-Olcott Road, Newfane, Newfane Town, Niagara County, New York, 14028, USA",43.3116630226715,-78.7146287893097
1989-06-20,WILLOWBROOK AVENUE,DUNKIRK,Chautauqua,1989-06-20,Human Error,Commercial/Industrial,nitric acid,Hazardous Material,200.0,Gallons,1989.0,20.0,1.0,6.0,"Willowbrook Avenue, Dunkirk, Chautauqua County, New York, 14048, USA",42.469013,-79.339605
1996-06-14,90 WILLOWBROOK AVENUE,DUNKIRK,Chautauqua,1996-06-14,Equipment Failure,"Institutional, Educational, Gov., Other",hydrogen chloride,Hazardous Material,150.0,Gallons,1996.0,14.0,4.0,6.0,"90, Willowbrook Avenue, Dunkirk, Chautauqua County, New York, 14048, USA",42.469095,-79.339772
1994-10-19,324 EAST AVENUE,ALBION,Orleans,1994-10-19,Equipment Failure,"Institutional, Educational, Gov., Other",chlorine,Hazardous Material,1.0,Gallons,1994.0,19.0,2.0,10.0,"Albion Elementary School, 324, East Avenue, Albion, Albion Town, Orleans County, New York, 14411, USA",43.2389061,-78.1809452
2012-01-06,PARK AVE EAST,MASSENA,St Lawrence,2012-01-06,Other,Commercial/Industrial,nitrogen dioxide,Hazardous Material,232.0,Pounds,2012.0,6.0,4.0,1.0,"Park Avenue, Massena, Saint Lawrence County, New York, 13662, USA",44.9378627,-74.8871292
2000-04-15,511-513 EAST MAIN STREET,ENDICOTT,Broome,2000-04-15,Deliberate,Commercial/Industrial,formaldehyde,Hazardous Material,1.0,Gallons,2000.0,15.0,5.0,4.0,"511, East Main Street, Endicott, Union Town, Broome County, New York, 13760, USA",42.0951358211589,-76.0567683062086
1994-05-18,1 MECHANIC ST,HOOSICK FALLS,Rensselaer,1994-05-18,Deliberate,Commercial/Industrial,chlorine,Hazardous Material,54.0,Pounds,1994.0,18.0,2.0,5.0,"1, Mechanic Street, Hoosick Falls, Town of Hoosick, Rensselaer County, New York, 12090, USA",42.905757,-73.355206
1999-09-30,20 PEABODY STREET,BUFFALO,Erie,1999-09-30,Human Error,Commercial/Industrial,boron trifluoride,Hazardous Material,165.0,Pounds,1999.0,30.0,3.0,9.0,"20, Peabody Street, Honeywell, Buffalo, Erie County, New York, 14210, USA",42.869376,-78.839804
1996-07-17,846 MACEDON CENTER ROAD,MACEDON,Wayne,1996-07-17,Other,Commercial/Industrial,chlorine,Hazardous Material,3.0,Gallons,1996.0,17.0,2.0,7.0,"846, Macedon Center Road, Macedon Center, Macedon Town, Wayne County, New York, 14502, USA",43.0941763613903,-77.3377075308655
1996-08-19,SPRING STREET RD,WATERVLIET,Albany,1996-08-19,Equipment Failure,Commercial/Industrial,hydrogen chloride,Hazardous Material,30.0,Gallons,1996.0,19.0,0.0,8.0,"Spring Street Road, Newtonville, Town of Colonie, Albany County, New York, 12189, USA",42.714559,-73.736435
1987-03-12,SPRING STREET RD,WATERVLIET,Albany,1987-03-12,Equipment Failure,Commercial/Industrial,hydrogen fluoride,Hazardous Material,50.0,Gallons,1987.0,12.0,3.0,3.0,"Spring Street Road, Newtonville, Town of Colonie, Albany County, New York, 12189, USA",42.714559,-73.736435
1993-12-09,40 CHARLES STREET,BINGHAMTON,Broome,1993-12-09,Equipment Failure,Commercial/Industrial,formaldehyde,Hazardous Material,2.0,Gallons,1993.0,9.0,3.0,12.0,"40, Charles Street, First Ward, Binghamton, Broome County, New York, 13905, USA",42.1086119509865,-75.9285816781913
2010-09-22,100 COLLEGE AVE,SLEEPY HOLLOW,Westchester,2010-09-22,Human Error,Private Dwelling,hydrochloric acid,Hazardous Material,35.0,Gallons,2010.0,22.0,2.0,9.0,"100, College Avenue, Sleepy Hollow, Mount Pleasant, Westchester County, New York, 10591, USA",41.081662,-73.863411
1998-05-09,9844 RIVER ROAD,MARCY T,Oneida,1998-05-09,Unknown,Commercial/Industrial,chlorine,Hazardous Material,2500.0,Gallons,1998.0,9.0,5.0,5.0,"9844, River Road, City of Utica, Town of Marcy, Oneida County, New York, 13403, USA",43.1261495384615,-75.2372051538462
2004-03-06,4700 BUFFALO AVENUE,NIAGARA FALLS,Niagara,2004-03-06,Equipment Failure,"Non Major Facility > 1,100 gal",hydrogen chloride,Hazardous Material,5.0,Gallons,2004.0,6.0,5.0,3.0,"4700, Buffalo Avenue, Niagara Falls, Niagara County, New York, 14304, USA",43.07888,-79.006723
2009-08-30,3289 GENESEE STREET,PIFFARD,Livingston,2009-08-30,Equipment Failure,Commercial/Industrial,hydrogen peroxide,Hazardous Material,3.0,Pounds,2009.0,30.0,6.0,8.0,"3289, Genesee Street, Piffard, York Town, Livingston County, New York, 14533, USA",42.828298991131,-77.8505442480784
2007-12-26,165 LAKEVIEW AVENUE,LAKEVIEW,Nassau,2007-12-26,Human Error,Private Dwelling,chlorine,Hazardous Material,5.0,Gallons,2007.0,26.0,2.0,12.0,"Lakeview Avenue, Lakeview, Nassau County, New York, 1157, USA",40.668043,-73.653279
2015-09-29,320 WEST TAYLOR ST,SYRACUSE,Onondaga,2015-09-29,Equipment Failure,Commercial/Industrial,hydrogen peroxide,Hazardous Material,275.0,Gallons,2015.0,29.0,1.0,9.0,"320, West Taylor Street, Southwest, Syracuse, Onondaga County, New York, 13202, USA",43.0388418061172,-76.1531715738324
1993-08-18,2268 BROWNCROFT BLVD,PENFIELD,Monroe,1993-08-18,Other,Commercial/Industrial,hydrogen chloride,Hazardous Material,10.0,Gallons,1993.0,18.0,2.0,8.0,"2268, Browncroft Boulevard, Twelve Corners, Brighton Town, Monroe County, New York, 14625, USA",43.1571453173811,-77.5257875171198
1987-08-13,36 RIVERSIDE AVE  PORT,RENSSELAER,Rensselaer,1987-08-13,Equipment Failure,"Major Facility (MOSF) > 400,000 gal",hydrogen chloride,Hazardous Material,100.0,Pounds,1987.0,13.0,3.0,8.0,"36, Riverside Avenue, Albany Molecular Research Inc. (AMRI), Rensselaer, Rensselaer County, New York, 12144, USA",42.627985,-73.750371
1995-10-15,36 RIVERSIDE AVE  PORT,RENSSELAER,Rensselaer,1995-10-15,Equipment Failure,"Major Facility (MOSF) > 400,000 gal",hydrogen chloride,Hazardous Material,700.0,Pounds,1995.0,15.0,6.0,10.0,"36, Riverside Avenue, Albany Molecular Research Inc. (AMRI), Rensselaer, Rensselaer County, New York, 12144, USA",42.627985,-73.750371
1994-08-24,36 RIVERSIDE AVE  PORT,RENSSELAER,Rensselaer,1994-08-24,Other,"Major Facility (MOSF) > 400,000 gal",nitrogen dioxide,Hazardous Material,10.0,Pounds,1994.0,24.0,2.0,8.0,"36, Riverside Avenue, Albany Molecular Research Inc. (AMRI), Rensselaer, Rensselaer County, New York, 12144, USA",42.627985,-73.750371
1987-09-10,36 RIVERSIDE AVE  PORT,RENSSELAER,Rensselaer,1987-09-10,Equipment Failure,"Major Facility (MOSF) > 400,000 gal",hydrogen chloride,Hazardous Material,600.0,Gallons,1987.0,10.0,3.0,9.0,"36, Riverside Avenue, Albany Molecular Research Inc. (AMRI), Rensselaer, Rensselaer County, New York, 12144, USA",42.627985,-73.750371
1994-10-11,36 RIVERSIDE AVE  PORT,RENSSELAER,Rensselaer,1994-10-11,Unknown,"Major Facility (MOSF) > 400,000 gal",nitrogen dioxide,Hazardous Material,20.0,Pounds,1994.0,11.0,1.0,10.0,"36, Riverside Avenue, Albany Molecular Research Inc. (AMRI), Rensselaer, Rensselaer County, New York, 12144, USA",42.627985,-73.750371
1987-05-28,36 RIVERSIDE AVE  PORT,RENSSELAER,Rensselaer,1987-05-28,Equipment Failure,"Major Facility (MOSF) > 400,000 gal",hydrogen chloride,Hazardous Material,1.0,Pounds,1987.0,28.0,3.0,5.0,"36, Riverside Avenue, Albany Molecular Research Inc. (AMRI), Rensselaer, Rensselaer County, New York, 12144, USA",42.627985,-73.750371
1987-09-10,36 RIVERSIDE AVE  PORT,RENSSELAER,Rensselaer,1987-09-10,Equipment Failure,"Major Facility (MOSF) > 400,000 gal",hydrogen chloride,Hazardous Material,600.0,Gallons,1987.0,10.0,3.0,9.0,"36, Riverside Avenue, Albany Molecular Research Inc. (AMRI), Rensselaer, Rensselaer County, New York, 12144, USA",42.627985,-73.750371
1986-08-07,4255 Research Parkway,Clarence,Erie,1986-08-07,Equipment Failure,Commercial/Industrial,hydrogen bromide,Other,1.0,Pounds,1986.0,7.0,3.0,8.0,"4255, Research Parkway, Clarence, Clarence Town, Erie County, New York, 14031, USA",42.9626808055908,-78.6214333210194
2010-08-18,57 PEARL AVE,WEST HARRISON,Westchester,2010-08-18,Deliberate,Private Dwelling,hydrochloric acid,Hazardous Material,1.0,Gallons,2010.0,18.0,2.0,8.0,"57, Pearl Avenue, Harrison, Town of Harrison, Westchester County, New York, 10604, USA",41.0418548854334,-73.7504577048555
1995-04-21,76 PAINE STREET,ROME C,Oneida,1995-04-21,Unknown,Unknown,hydrogen chloride,Hazardous Material,1.0,Gallons,1995.0,21.0,4.0,4.0,"76, Paine Street, City of Rome, Oneida County, New York, 13441, USA",43.2241369344671,-75.404334159245
2004-06-11,1 FEDERAL STREET,YONKERS,Westchester,2004-06-11,Equipment Failure,Commercial/Industrial,hydrogen chloride,Hazardous Material,50.0,Gallons,2004.0,11.0,4.0,6.0,"1, Federal Street, Yonkers, Westchester County, New York, 10705, USA",40.924905,-73.905028
2018-08-23,995 G ROAD,BRENTWOOD,Suffolk,2018-08-23,Equipment Failure,"Institutional, Educational, Gov., Other",nitrogen dioxide,Hazardous Material,8.7,Pounds,2018.0,23.0,3.0,8.0,"G Road, Brentwood, Suffolk County, New York, 11717, USA",40.7932331,-73.2759671
2017-01-10,BRENTWOOD STATION,BRENTWOOD,Suffolk,2017-01-10,Equipment Failure,"Institutional, Educational, Gov., Other",nitrogen dioxide,Hazardous Material,10.0,Pounds,2017.0,10.0,1.0,1.0,"Brentwood, 8th Street, Brentwood, Suffolk County, New York, 11717, USA",40.78115805,-73.2425282958642
2000-10-02,BRYANT AVE,BRONX,Bronx,2000-10-02,Human Error,Commercial/Industrial,hydrogen chloride,Hazardous Material,1.0,Gallons,2000.0,2.0,0.0,10.0,"Bryant Avenue, Hunts Point, The Bronx, Bronx County, NYC, New York, 10459, USA",40.822044,-73.8884223
1987-09-12,5000 PACKARD ROAD,NIAGARA FALLS,Niagara,1987-09-12,Equipment Failure,Commercial/Industrial,formaldehyde,Hazardous Material,1000.0,Pounds,1987.0,12.0,5.0,9.0,"5000, Packard Road, Niagara Falls, Niagara County, New York, 14304, USA",43.097373,-79.005155
1990-06-05,400 FOREST AVENUE,BUFFALO,Erie,1990-06-05,Human Error,"Institutional, Educational, Gov., Other",formalin,Other,4.0,Gallons,1990.0,5.0,1.0,6.0,"Buffalo Psychiatric Center, 400, Forest Avenue, Elmwood Village, Buffalo, Erie County, New York, 14213, USA",42.9292584,-78.8802006
1998-07-04,401 NORTH MIDDLETOWN ROAD,PEARL RIVER,Rockland,1998-07-04,Equipment Failure,Commercial/Industrial,hydrogen chloride,Hazardous Material,300.0,Gallons,1998.0,4.0,5.0,7.0,"North Middletown Road, Pearl River, Town of Orangetown, Rockland County, New York, 10965, USA",41.0660293,-74.0125097
2007-09-08,571 EDGEMERE DR,ROCHESTER,Monroe,2007-09-08,Equipment Failure,Commercial/Industrial,chlorine,Hazardous Material,94.0,Pounds,2007.0,8.0,5.0,9.0,"Edgemere Drive, Rochester, Brighton Town, Monroe County, New York, 14618, USA",43.133251,-77.578026
1997-06-20,501 INDUSTRIAL PARK,LITTLE FALLS C,Herkimer,1997-06-20,Equipment Failure,Commercial/Industrial,hydrogen peroxide,Hazardous Material,3000.0,Gallons,1997.0,20.0,4.0,6.0,"Industrial Park, Town of Little Falls, Herkimer County, New York, 13365, USA",43.027586,-74.878981
1990-07-17,ROUTE 63 & 36,GREIGSVILLE,Livingston,1990-07-17,Equipment Failure,Tank Truck,hydrogen chloride,Hazardous Material,2.0,Gallons,1990.0,17.0,1.0,7.0,"Greigsville, York Town, Livingston County, New York, 14539, USA",42.8306176,-77.8969499
1995-02-01,116 BUFFALO STREET,CANANDAIGUA,Ontario,1995-02-01,Tank Failure,Commercial/Industrial,hydrogen chloride,Hazardous Material,1000.0,Gallons,1995.0,1.0,2.0,2.0,"116, Buffalo Street, Canandaigua, Canandaigua Town, Ontario County, New York, 14424, USA",42.8963407481459,-77.2942062364989
1999-03-31,116 BUFFALO STREET,CANANDAIGUA,Ontario,1999-03-31,Unknown,Commercial/Industrial,hydrogen chloride,Hazardous Material,20.0,Gallons,1999.0,31.0,2.0,3.0,"116, Buffalo Street, Canandaigua, Canandaigua Town, Ontario County, New York, 14424, USA",42.8963407481459,-77.2942062364989
2001-05-06,28 MALTS AVENUE,WEST ISLIP,Suffolk,2001-05-06,Human Error,Private Dwelling,hydrogen chloride,Hazardous Material,15.0,Gallons,2001.0,6.0,6.0,5.0,"28, Malts Avenue, West Islip, Suffolk County, New York, 11795, USA",40.71315705,-73.2923052949484
1995-10-07,4861 PACKARD ROAD,NIAGARA FALLS,Niagara,1995-10-07,Equipment Failure,Commercial/Industrial,chlorine,Hazardous Material,4.0,Pounds,1995.0,7.0,5.0,10.0,"4861, Packard Road, Niagara Falls, Niagara County, New York, 14304, USA",43.0975066753433,-79.0045824371986
1995-10-01,4861 PACKARD ROAD,NIAGARA FALLS,Niagara,1995-10-01,Equipment Failure,Commercial/Industrial,chlorine,Hazardous Material,16.0,Pounds,1995.0,1.0,6.0,10.0,"4861, Packard Road, Niagara Falls, Niagara County, New York, 14304, USA",43.0975066753433,-79.0045824371986
2006-07-05,OFF MERRICK ROAD,WANTAGH,Nassau,2006-07-05,Other,"Major Facility (MOSF) > 400,000 gal",chlorine,Hazardous Material,1305.0,Gallons,2006.0,5.0,2.0,7.0,"Merrick Road, Wantagh, Nassau County, New York, 11710, USA",40.6634804,-73.5180425
2008-06-15,MERRICK ROAD,WANTAGH,Nassau,2008-06-15,Human Error,"Major Facility (MOSF) > 400,000 gal",chlorine,Hazardous Material,50.0,Gallons,2008.0,15.0,6.0,6.0,"Merrick Road, Wantagh, Nassau County, New York, 11710, USA",40.663937,-73.5138003
1989-02-27,43 FOREST AVENUE,JAMESTOWN,Chautauqua,1989-02-27,Equipment Failure,Commercial/Industrial,hydrogen chloride,Hazardous Material,15000.0,Pounds,1989.0,27.0,0.0,2.0,"43, Forest Avenue, Jamestown, Chautauqua County, New York, 14701, USA",42.0921049878548,-79.2411073015961
1990-12-13,219 BRYANT STREET,BUFFALO,Erie,1990-12-13,Equipment Failure,Commercial/Industrial,ethylene oxide,Hazardous Material,1.0,Pounds,1990.0,13.0,3.0,12.0,"219, Bryant Street, Elmwood Village, Buffalo, Erie County, New York, 14222, USA",42.9089958947368,-78.8759977368421
1999-06-23,200 WALLACE AVENUE,BUFFALO,Erie,1999-06-23,Human Error,Private Dwelling,chlorine,Hazardous Material,4.0,Pounds,1999.0,23.0,2.0,6.0,"200, Wallace Avenue, North Park, Buffalo, Erie County, New York, 14216, USA",42.9485335122239,-78.8468999417927
2010-08-24,2400 BUFFALO AVE,NIAGARA FALLS,Niagara,2010-08-24,Equipment Failure,Commercial/Industrial,chlorine,Hazardous Material,10.0,Pounds,2010.0,24.0,1.0,8.0,"2400, Buffalo Avenue, Niagara Falls, Niagara County, New York, 14303, USA",43.083262,-79.032926
2006-06-15,273 SOUTH MAIN ST,NEW CITY,Rockland,2006-06-15,Other,Commercial/Industrial,chlorine,Hazardous Material,5.0,Gallons,2006.0,15.0,3.0,6.0,"273, South Main Street, New City, Town of Clarkstown, Rockland County, New York, 10956, USA",41.1380691801886,-73.9908430606716
2001-06-22,TACONIC STATE PARKWAY,YORKTOWN,Westchester,2001-06-22,Human Error,Unknown,chlorine,Hazardous Material,50.0,Pounds,2001.0,22.0,4.0,6.0,"Taconic State Parkway, Yorktown, Town of Yorktown, Westchester County, New York, 10598, USA",41.2906491,-73.8203883
